time,buy_units,total_buy,sell_units,total_sell,initial_money
0.0,5.0,525.6999969482422,,,19474.300003051758
2.0,5.0,531.6999816894531,,,18942.600021362305
4.0,5.0,574.7000122070312,,,18367.900009155273
6.0,,,5.0,607.5,18975.400009155273
8.0,,,5.0,619.5500183105469,19594.95002746582
9.0,5.0,593.4500122070312,,,19001.50001525879
10.0,5.0,578.650016784668,,,18422.84999847412
11.0,5.0,600.6000137329102,,,17822.24998474121
13.0,5.0,583.8000106811523,,,17238.44997406006
15.0,5.0,606.7499923706055,,,16631.699981689453
16.0,,,5.0,623.6000061035156,17255.29998779297
17.0,,,5.0,629.5999908447266,17884.899978637695
18.0,1.0,126.2699966430664,,,17758.62998199463
19.0,,,5.0,643.4500122070312,18402.07999420166
20.0,,,5.0,627.7999877929688,19029.87998199463
21.0,1.0,121.87000274658203,,,18908.009979248047
22.0,,,5.0,608.4000015258789,19516.409980773926
23.0,5.0,612.9000091552734,,,18903.509971618652
24.0,,,5.0,615.8499908447266,19519.35996246338
27.0,,,5.0,612.9499816894531,20132.309944152832
28.0,,,2.0,240.52000427246094,20372.829948425293
31.0,5.0,584.900016784668,,,19787.929931640625
32.0,,,5.0,607.7999877929688,20395.729919433594
